,t1_win
t2p4_perkSubStyle,0.004022262137346278
t2p4_physicalDamageDealt,-0.11143883481606348
t2p4_physicalDamageDealtToChampions,-0.10245937122892969
t2p4_physicalDamageTaken,-0.03152558458814491
t2p4_spellId1,-0.0013906017186715368
t2p4_spellId2,0.0008435780584752625
t2p4_timeCCingOthers,-0.02793758634915546
t2p4_totalDamageDealt,-0.2482047882551979
t2p4_totalDamageDealtToChampions,-0.17445290568710362
t2p4_totalDamageTaken,0.022487704910104413
t2p4_totalHeal,-0.2053373560807327
t2p4_totalMinionsKilled,-0.047135879193219814
t2p4_totalTimeCrowdControlDealt,-0.057346425968631216
t2p4_trueDamageDealt,-0.07233721327383125
t2p4_trueDamageDealtToChampions,-0.04935355967910129
t2p4_trueDamageTaken,0.01157368294014409
t2p4_visionScore,-0.14968866930810212
t2p4_wardsKilled,-0.07211214436005563
t2p4_wardsPlaced,-0.033091562426314204
t2p5_assists,-0.34414577279279657
t2p5_ban_champId,0.0009133159662853038
t2p5_champId,0.009709150048886107
t2p5_champLevel,-0.2489644306127242
t2p5_damageDealtToObjectives,-0.3905867531688527
t2p5_damageDealtToTurrets,-0.4153854503048509
t2p5_damageSelfMitigated,-0.02207340096806658
t2p5_deaths,0.39077197365365807
t2p5_goldEarned,-0.27858810620216556
t2p5_item0,-0.054978037700808786
t2p5_item1,-0.05448812484160734
t2p5_item2,-0.04959009461463437
t2p5_item3,-0.0807624521868531
t2p5_item4,-0.1006326167513095
t2p5_item5,-0.09694719953776819
t2p5_item6,-0.026777176997903093
t2p5_kills,-0.33121122622301097
t2p5_lp,-0.05992510476617403
t2p5_magicDamageDealt,-0.04994403636195477
t2p5_magicDamageDealtToChampions,-0.05126366885023566
t2p5_magicalDamageTaken,0.09030405447677776
t2p5_min10_creeps,-0.11536222371519833
t2p5_min10_damagetaken,0.057352643775979824
t2p5_min10_gold,-0.22692002717511656
t2p5_min10_xp,-0.19645013474177034
t2p5_min15_creeps,-0.09939101686955035
t2p5_min15_damagetaken,0.04877798788391355
t2p5_min15_gold,-0.20192634245265462
t2p5_min15_xp,-0.16048649638231416
t2p5_neutralMinionsKilled,-0.16472426360061285
t2p5_perk0,-0.008151537467421139
t2p5_perk1,0.0036774654135157923
t2p5_perk2,0.010442319382614923
t2p5_perk3,-0.011294642102014972
t2p5_perk4,0.01293795360254149
t2p5_perk5,0.015335776669257261
t2p5_perkPrimaryStyle,-0.009591947221101087
t2p5_perkSubStyle,0.001713378602636463
t2p5_physicalDamageDealt,-0.12315014844034321
t2p5_physicalDamageDealtToChampions,-0.12492666573927855
t2p5_physicalDamageTaken,0.007878950179409532
t2p5_spellId1,0.0022281053220785047
t2p5_spellId2,-0.004519787748466723
t2p5_timeCCingOthers,-0.05163554923999993
t2p5_totalDamageDealt,-0.17267319707285883
t2p5_totalDamageDealtToChampions,-0.16358977700384755
t2p5_totalDamageTaken,0.04210736843459752
t2p5_totalHeal,-0.1521598643973166
t2p5_totalMinionsKilled,-0.10852398075354923
t2p5_totalTimeCrowdControlDealt,-0.03888629147510609
t2p5_trueDamageDealt,-0.060617304705704235
t2p5_trueDamageDealtToChampions,-0.0692319357419051
t2p5_trueDamageTaken,-0.012446962413588903
t2p5_visionScore,-0.1167647708011088
t2p5_wardsKilled,-0.07897010855104136
t2p5_wardsPlaced,-0.05532755535514532
gameCreation,-0.001171803960180889
gameDuration,-0.014800772201294431
queueId,
average_lp,-0.0018539682101098632
t1_teamId,
t1_win,1.0000000000000009
t1p1_min10_gold_fixed,0.2122004015849641
t1p1_min15_gold_fixed,0.20051922922018733
t1p2_min10_gold_fixed,0.2625692588063575
t1p2_min15_gold_fixed,0.22371120556288066
t1p3_min10_gold_fixed,0.24076490745706025
t1p3_min15_gold_fixed,0.1987968266191204
t1p4_min10_gold_fixed,0.2726294408279046
t1p4_min15_gold_fixed,0.22768633455162185
t1p5_min10_gold_fixed,0.22687958666668692
t1p5_min15_gold_fixed,0.19161279104609608
t2p1_min10_gold_fixed,-0.2032604678126899
t2p1_min15_gold_fixed,-0.20777789691325876
t2p2_min10_gold_fixed,-0.25897815934151824
t2p2_min15_gold_fixed,-0.23310147039658
t2p3_min10_gold_fixed,-0.24864099767759937
t2p3_min15_gold_fixed,-0.21795736169543545
t2p4_min10_gold_fixed,-0.2707031854366911
t2p4_min15_gold_fixed,-0.2387431174298751
t2p5_min10_gold_fixed,-0.22692002717511658
t2p5_min15_gold_fixed,-0.20192634245265462
t1_min10_gold_advantage,0.525192624073351
t1_min15_gold_advantage,0.6624668006418334
